,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
53,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
54,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
55,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
56,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
57,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
58,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,0.0,0,0,0,0,0
59,122.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
60,122.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
61,109.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0
62,95.0,0,0.0,0.0,0.0,0.0,0,5.0,3.0,0.0,1.4,0,0.5,0,0,0,0,0
63,118.0,0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,0.1,0,0,0,0,0
64,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
65,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
66,122.0,0,0.0,0.0,0.0,0.0,0,6.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
67,129.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
68,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.1,0,0,0,0,0
69,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
70,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
71,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
72,121.0,0,0.0,0.0,0.0,0.0,0,0.0,3.4,0.0,0.0,0,0.1,0,0,0,0,0
73,118.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
74,126.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
75,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
76,121.0,0,0.0,0.0,0.0,0.0,0,0.0,4.6,0.0,0.0,0,0.1,0,0,0,0,0
77,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
78,129.0,0,0.0,0.0,0.0,0.0,0,0.0,4.2,0.0,0.0,0,0.1,0,0,0,0,0
79,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
80,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
81,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.1,0.0,0.0,0,0.1,0,0,0,0,0
82,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
83,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
84,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.1,0.0,0.0,0,0.1,0,0,0,0,0
85,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
86,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.1,0.0,0.0,0,0.1,0,0,0,0,0
87,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.1,0.0,0.0,0,0.1,0,0,0,0,0
88,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
89,125.0,0,0.0,0.0,0.0,0.0,0,0.0,4.1,0.0,0.0,0,0.1,0,0,0,0,0
90,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
91,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
92,118.0,0,0.0,0.0,0.0,0.0,0,0.0,4.9,0.0,0.0,0,0.1,0,0,0,0,0
93,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
94,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
95,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
96,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
97,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
98,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
99,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
100,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
101,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
102,127.0,0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.1,0,0,0,0,0
103,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
104,115.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0,0.1,0,0,0,0,0
105,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.6,0.0,0.0,0,0.1,0,0,0,0,0
106,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.6,0.0,0.0,0,0.1,0,0,0,0,0
107,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.6,0.0,0.0,0,0.1,0,0,0,0,0
108,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.6,0.0,0.0,0,0.1,0,0,0,0,0
109,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.6,0.0,0.0,0,0.1,0,0,0,0,0
110,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
111,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.8,0.0,0.0,0,0.1,0,0,0,0,0
